"Value Research Online"
"Date: 12-Oct-2017 15:08"
"Scheme","NAV","As On","Change From Previous","52-Week High","As On","52-Week Low","As on"
"Aditya Birla SL Advantage Direct-D","132.11","Oct 11, 2017","-0.59","145.23","Aug 07, 2017","103.54","Dec 26, 2016"
"Aditya Birla SL Advantage Direct-G","446.42","Oct 11, 2017","-0.59","457.18","Sep 18, 2017","314.9","Dec 26, 2016"
"Aditya Birla SL Equity Direct-D","139.88","Oct 11, 2017","-0.77","143.17","Sep 19, 2017","105.68","Dec 26, 2016"
"Aditya Birla SL Equity Direct-G","723.54","Oct 11, 2017","-0.77","740.53","Sep 19, 2017","546.7","Dec 26, 2016"
"Aditya Birla SL Special Situations Direct-D","22.88","Oct 11, 2017","-0.75","25.74","Sep 19, 2017","18.85","Dec 26, 2016"
"Aditya Birla SL Special Situations Direct-G","25.55","Oct 11, 2017","-0.75","25.76","Sep 19, 2017","18.86","Dec 26, 2016"
"Axis Focused 25 Direct-D","25.95","Oct 11, 2017","-0.49","26.49","Sep 19, 2017","18.28","Dec 26, 2016"
"Axis Focused 25 Direct-G","26.28","Oct 11, 2017","-0.49","26.83","Sep 19, 2017","18.5","Dec 26, 2016"
"BNP Paribas Dividend Yield Direct-D","19.61","Oct 11, 2017","-1.04","19.82","Oct 10, 2017","14.93","Dec 26, 2016"
"BNP Paribas Dividend Yield Direct-G","51.06","Oct 11, 2017","-1.04","51.6","Oct 10, 2017","36.12","Dec 26, 2016"
"DSPBR Opportunities Direct-D","52.09","Oct 11, 2017","-0.65","53.18","Sep 19, 2017","41.31","Jan 09, 2017"
"DSPBR Opportunities Direct-G","217.94","Oct 11, 2017","-0.65","222.46","Sep 19, 2017","163.66","Dec 26, 2016"
"Franklin India High Growth Companies Direct-D","25.11","Oct 11, 2017","-0.33","27.84","Jul 25, 2017","21.61","Dec 26, 2016"
"Franklin India High Growth Companies Direct-G","38.54","Oct 11, 2017","-0.33","39.59","Jul 25, 2017","30.73","Dec 26, 2016"
"Franklin India Prima Plus Direct-D","42.06","Oct 11, 2017","-0.64","43.02","Sep 18, 2017","35.37","Dec 26, 2016"
"Franklin India Prima Plus Direct-G","580.8","Oct 11, 2017","-0.64","594.11","Sep 18, 2017","458.7","Dec 26, 2016"
"ICICI Pru Nifty Next 50 Index Direct-D","25.48","Oct 11, 2017","-0.61","26.17","Sep 19, 2017","18.26","Dec 26, 2016"
"ICICI Pru Nifty Next 50 Index Direct-G","25.49","Oct 11, 2017","-0.61","26.18","Sep 19, 2017","18.26","Dec 26, 2016"
"ICICI Pru Value Discovery Direct-D","52.31","Oct 11, 2017","-0.22","53.11","Sep 19, 2017","43.75","Dec 26, 2016"
"ICICI Pru Value Discovery Direct-G","143.74","Oct 11, 2017","-0.22","145.95","Sep 19, 2017","120.22","Dec 26, 2016"
"IDBI Nifty Junior Index Direct-D","22.33","Oct 11, 2017","-0.61","23.01","Sep 19, 2017","16.06","Dec 26, 2016"
"IDBI Nifty Junior Index Direct-G","22.33","Oct 11, 2017","-0.61","23.01","Sep 19, 2017","16.06","Dec 26, 2016"
"Invesco India Contra Direct-D","29.59","Oct 11, 2017","-0.59","29.93","Sep 18, 2017","23.76","Nov 21, 2016"
"Invesco India Contra Direct-G","45.2","Oct 11, 2017","-0.59","45.71","Sep 18, 2017","33.03","Nov 21, 2016"
"Kotak Opportunities Direct-D","29.2","Oct 11, 2017","-0.29","30.11","Aug 07, 2017","23.91","Dec 26, 2016"
"Kotak Opportunities Direct-G","118.39","Oct 11, 2017","-0.29","120.42","Sep 19, 2017","88.76","Dec 26, 2016"
"Kotak Select Focus Direct-D","23.98","Oct 11, 2017","-0.26","26.07","Sep 19, 2017","19.11","Dec 26, 2016"
"Kotak Select Focus Direct-G","33.38","Oct 11, 2017","-0.26","34.11","Sep 19, 2017","25","Dec 26, 2016"
"L&T India Spl Situations Direct-D","31.56","Oct 11, 2017","-0.69","32.27","May 10, 2017","25.01","Dec 26, 2016"
"L&T India Spl Situations Direct-G","48.85","Oct 11, 2017","-0.69","49.6","Sep 18, 2017","35.6","Dec 26, 2016"
"Motilal Oswal MOSt Focused Multicap 35 Direct-D","26.43","Oct 11, 2017","0.02","27.26","Sep 12, 2017","18.7","Dec 26, 2016"
"Motilal Oswal MOSt Focused Multicap 35 Direct-G","26.75","Oct 11, 2017","0.02","27.6","Sep 12, 2017","18.7","Dec 26, 2016"
"Parag Parikh Long Term Value Direct-G","22.71","Oct 11, 2017","-0.03","22.72","Oct 10, 2017","18","Nov 21, 2016"
"Principal Growth Direct-DH","43.72","Oct 11, 2017","-0.88","50.45","Jun 16, 2017","37.97","Dec 26, 2016"
"Principal Growth Direct-G","140.72","Oct 11, 2017","-0.88","143.65","Sep 19, 2017","100.65","Dec 26, 2016"
"SBI Magnum MultiCap Direct-D","28.59","Oct 11, 2017","-0.36","28.82","Sep 19, 2017","22.07","Dec 30, 2016"
"SBI Magnum MultiCap Direct-G","47.43","Oct 11, 2017","-0.36","47.81","Sep 19, 2017","35.18","Dec 26, 2016"
"SBI Magnum Multiplier Direct-D","119.9","Oct 11, 2017","-0.41","121.91","Sep 19, 2017","99.66","Dec 26, 2016"
"SBI Magnum Multiplier Direct-G","205.91","Oct 11, 2017","-0.41","209.37","Sep 19, 2017","157.39","Dec 26, 2016"
"Tata Retirement Savings Progressive Direct-G","30.15","Oct 11, 2017","-0.69","30.65","Sep 19, 2017","20.57","Nov 21, 2016"
