"Value Research Online"
"Date: 12-Oct-2017 15:08"
"Fund","Rating","Investment Style","Capitalisation","Market Cap","Turnover","Credit Quality","Interest Rate Sensitivity","Average Credit Quality","Average Maturity (Yrs)","Net Assets (Cr)"
"Aditya Birla Sun Life Advantage Fund - Direct Plan","* * * * * ","Growth","Large Cap","60135.49","57","-","-","-","-","4499.09"
"Aditya Birla Sun Life Equity Fund - Direct Plan","* * * * * ","Growth","Large Cap","62903.03","51","-","-","-","-","7228.58"
"Aditya Birla Sun Life Special Situations Fund - Direct Plan","* * * * ","Blend","Large Cap","43611.16","92","-","-","-","-","168.34"
"Axis Focused 25 Fund - Direct Plan","* * * * ","Growth","Large Cap","57688.73","108","-","-","-","-","1980.75"
"BNP Paribas Dividend Yield Fund - Direct Plan","* * * * ","Growth","Mid Cap","20402.33","49","-","-","-","-","474.79"
"DSP BlackRock Opportunities Fund - Direct Plan","* * * * * ","Growth","Large Cap","59662.75","95","-","-","-","-","3525.22"
"Franklin India High Growth Companies Fund - Direct Plan","* * * * ","Growth","Large Cap","50490.11","41.27","-","-","-","-","6715.93"
"Franklin India Prima Plus Fund - Direct Plan","* * * * ","Growth","Large Cap","68249.45","31.09","-","-","-","-","11228.34"
"ICICI Prudential Nifty Next 50 Index Fund - Direct Plan","* * * * ","Blend","Large Cap","39849.11","41","-","-","-","-","99.25"
"ICICI Prudential Value Discovery Fund - Direct Plan","* * * * ","Growth","Large Cap","87506.2","71","-","-","-","-","16744.06"
"IDBI Nifty Junior Index Fund - Direct Plan","* * * * ","Blend","Large Cap","40259.99","43","-","-","-","-","39.71"
"Invesco India Contra Fund - Direct Plan","* * * * * ","Growth","Large Cap","44035.11","74","-","-","-","-","659"
"Kotak Opportunities - Direct Plan","* * * * ","Growth","Large Cap","64510.5","49.19","-","-","-","-","1893.22"
"Kotak Select Focus Fund - Direct Plan","* * * * * ","Growth","Large Cap","87632.99","30.23","-","-","-","-","13947.12"
"L&T India Special Situations Fund - Direct Plan","* * * * ","Blend","Large Cap","29008.68","75.02","-","-","-","-","1090.4"
"Motilal Oswal MOSt Focused Multicap 35 Fund - Direct Plan","* * * * * ","Growth","Large Cap","66123.62","39","-","-","-","-","9178.99"
"Parag Parikh Long Term Value Fund - Direct Plan","* * * * ","Growth","Large Cap","25900.62","13.09","-","-","-","-","860.17"
"Principal Growth Fund - Direct Plan","* * * * ","Growth","Large Cap","36853.49","47","-","-","-","-","503.2"
"SBI Magnum Multicap Fund - Direct Plan","* * * * * ","Growth","Large Cap","42620.49","38","-","-","-","-","3104.34"
"SBI Magnum Multiplier Fund - Direct Plan","* * * * ","Growth","Large Cap","33781.96","92","-","-","-","-","1900.06"
"Tata Retirement Savings Fund - Progressive Plan - Direct Plan","* * * * * ","Blend","Large Cap","31889.56","76.87","-","-","-","-","280.41"
