"Value Research Online"
"Date: 12-Oct-2017 15:08"
"Fund","Rating","1-Month Return","1-Month Rank","3-Month Return","3-Month Rank","1-Year Return","1-Year Rank","3-Year Return","3-Year Rank","5-Year Return","5-Year Rank","10-Year Return","10-Year Rank"
"Aditya Birla Sun Life Advantage Fund - Direct Plan","* * * * * ","-1.38","108/133","8.85","3/133","21.65","17/127","22.37","3/118","-","-","-","-"
"Aditya Birla Sun Life Equity Fund - Direct Plan","* * * * * ","-1.07","100/133","4.51","49/133","16.53","65/127","19.31","13/118","-","-","-","-"
"Aditya Birla Sun Life Special Situations Fund - Direct Plan","* * * * ","0.06","44/133","8.23","6/133","17.12","58/127","19.98","6/118","-","-","-","-"
"Axis Focused 25 Fund - Direct Plan","* * * * ","-0.83","89/133","6.48","21/133","23.61","8/127","19.49","11/118","-","-","-","-"
"BNP Paribas Dividend Yield Fund - Direct Plan","* * * * ","1.04","13/133","6.98","12/133","27.27","2/127","18.52","19/118","-","-","-","-"
"DSP BlackRock Opportunities Fund - Direct Plan","* * * * * ","-0.93","94/133","5.05","38/133","18.98","42/127","18.75","17/118","-","-","-","-"
"Franklin India High Growth Companies Fund - Direct Plan","* * * * ","-0.21","62/133","0.37","123/133","15.04","82/127","16.21","35/118","-","-","-","-"
"Franklin India Prima Plus Fund - Direct Plan","* * * * ","-0.62","78/133","2.13","101/133","13.63","98/127","15.64","44/118","-","-","-","-"
"ICICI Prudential Nifty Next 50 Index Fund - Direct Plan","* * * * ","-1.32","105/133","4.83","42/133","21.29","20/127","19.71","8/118","-","-","-","-"
"ICICI Prudential Value Discovery Fund - Direct Plan","* * * * ","0.23","34/133","1.93","106/133","10.15","120/127","13.19","73/118","-","-","-","-"
"IDBI Nifty Junior Index Fund - Direct Plan","* * * * ","-1.64","114/133","4.54","48/133","20.7","26/127","19.5","10/118","-","-","-","-"
"Invesco India Contra Fund - Direct Plan","* * * * * ","1.53","7/133","5.66","30/133","20.53","29/127","18.27","21/118","-","-","-","-"
"Kotak Opportunities - Direct Plan","* * * * ","-0.71","84/133","3.04","75/133","20","35/127","18.53","18/118","-","-","-","-"
"Kotak Select Focus Fund - Direct Plan","* * * * * ","-1.34","106/133","3.04","74/133","20.07","33/127","18.85","16/118","-","-","-","-"
"L&T India Special Situations Fund - Direct Plan","* * * * ","-0.08","56/133","2.09","103/133","23.28","11/127","15.88","41/118","-","-","-","-"
"Motilal Oswal MOSt Focused Multicap 35 Fund - Direct Plan","* * * * * ","-2.53","132/133","6.8","13/133","26.53","4/127","26.1","1/118","-","-","-","-"
"Parag Parikh Long Term Value Fund - Direct Plan","* * * * ","1.87","1/133","6.66","15/133","18.95","43/127","15.9","40/118","-","-","-","-"
"Principal Growth Fund - Direct Plan","* * * * ","0.64","21/133","3.99","59/133","22.67","13/127","17.29","29/118","-","-","-","-"
"SBI Magnum Multicap Fund - Direct Plan","* * * * * ","0.14","41/133","6.3","23/133","19.78","36/127","19.55","9/118","-","-","-","-"
"SBI Magnum Multiplier Fund - Direct Plan","* * * * ","-0.15","58/133","2.75","85/133","12.94","106/127","15.83","42/118","-","-","-","-"
"Tata Retirement Savings Fund - Progressive Plan - Direct Plan","* * * * * ","-0.9","92/133","8.51","4/133","28.4","1/127","21.61","4/118","-","-","-","-"
