"Value Research Online"
"Date: 12-Oct-2017 15:07"
"Fund","Rating","Category","Launch","Expense Ratio (%)","1-Year Return (%)","1-Year Rank","Net Assets (Cr)"
"Aditya Birla Sun Life Advantage Fund - Direct Plan","* * * * * ","EQ-MLC    ","Jan 01, 2013","1.02","21.65","17/127","4499.09"
"Aditya Birla Sun Life Equity Fund - Direct Plan","* * * * * ","EQ-MLC    ","Jan 01, 2013","0.98","16.53","65/127","7228.58"
"Aditya Birla Sun Life Special Situations Fund - Direct Plan","* * * * ","EQ-MLC    ","Jan 01, 2013","1.99","17.12","58/127","168.34"
"Axis Focused 25 Fund - Direct Plan","* * * * ","EQ-MLC    ","Jan 01, 2013","1.41","23.61","8/127","1980.75"
"BNP Paribas Dividend Yield Fund - Direct Plan","* * * * ","EQ-MLC    ","Jan 01, 2013","1.06","27.27","2/127","474.79"
"DSP BlackRock Opportunities Fund - Direct Plan","* * * * * ","EQ-MLC    ","Jan 01, 2013","1.32","18.98","42/127","3525.22"
"Franklin India High Growth Companies Fund - Direct Plan","* * * * ","EQ-MLC    ","Jan 01, 2013","1.27","15.04","82/127","6715.93"
"Franklin India Prima Plus Fund - Direct Plan","* * * * ","EQ-MLC    ","Jan 01, 2013","1.19","13.63","98/127","11228.34"
"ICICI Prudential Nifty Next 50 Index Fund - Direct Plan","* * * * ","EQ-MLC    ","Jan 01, 2013","0.42","21.29","20/127","99.25"
"ICICI Prudential Value Discovery Fund - Direct Plan","* * * * ","EQ-MLC    ","Jan 01, 2013","1.08","10.15","120/127","16744.06"
"IDBI Nifty Junior Index Fund - Direct Plan","* * * * ","EQ-MLC    ","Jan 01, 2013","0.71","20.7","26/127","39.71"
"Invesco India Contra Fund - Direct Plan","* * * * * ","EQ-MLC    ","Jan 01, 2013","0.98","20.53","29/127","659"
"Kotak Opportunities - Direct Plan","* * * * ","EQ-MLC    ","Jan 01, 2013","0.96","20","35/127","1893.22"
"Kotak Select Focus Fund - Direct Plan","* * * * * ","EQ-MLC    ","Jan 01, 2013","1","20.07","33/127","13947.12"
"L&T India Special Situations Fund - Direct Plan","* * * * ","EQ-MLC    ","Jan 01, 2013","1.63","23.28","11/127","1090.4"
"Motilal Oswal MOSt Focused Multicap 35 Fund - Direct Plan","* * * * * ","EQ-MLC    ","Apr 28, 2014","1.33","26.53","4/127","9178.99"
"Parag Parikh Long Term Value Fund - Direct Plan","* * * * ","EQ-MLC    ","May 28, 2013","1.99","18.95","43/127","860.17"
"Principal Growth Fund - Direct Plan","* * * * ","EQ-MLC    ","Jan 02, 2013","1.76","22.67","13/127","503.2"
"SBI Magnum Multicap Fund - Direct Plan","* * * * * ","EQ-MLC    ","Jan 01, 2013","1.18","19.78","36/127","3104.34"
"SBI Magnum Multiplier Fund - Direct Plan","* * * * ","EQ-MLC    ","Jan 01, 2013","1.7","12.94","106/127","1900.06"
"Tata Retirement Savings Fund - Progressive Plan - Direct Plan","* * * * * ","EQ-MLC    ","Jan 01, 2013","1.85","28.4","1/127","280.41"
